Group,category,type,Group_full,,,
Guiana Dolphin Single Species Group (Exclusive),474,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),477,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),484,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),498,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),501,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),504,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),506,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),507,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),508,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),522,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),525,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),529,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),540,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),544,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),551,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),557,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),560,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),563,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),569,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),570,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),571,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),577,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),578,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),582,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),592,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),593,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),596,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),600,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),604,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),606,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),609,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),611,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),613,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),615,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),617,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),618,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),620,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),625,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),629,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),642,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),647,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),651,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),654,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),659,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),661,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),663,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),665,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),680,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),683,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),686,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),688,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),690,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),696,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),709,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),710,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),716,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),717,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),731,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),733,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),742,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),744,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),749,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),758,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),759,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),768,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),777,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),780,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),783,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),785,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),786,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),787,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),790,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),791,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),802,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),810,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),820,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),821,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),824,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),832,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),843,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),848,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),851,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),852,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),854,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),862,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),865,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),866,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),867,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),870,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),872,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),873,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),887,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),898,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),902,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),912,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),919,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),920,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),930,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),931,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),938,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),942,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),946,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),950,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),952,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),953,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),954,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),971,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),977,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),980,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),989,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1000,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1001,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1004,Upsweep,sg,,,
